,mean,std,skew,kurtosis,fft_energy,cluster
asset_id,0.0,0.0,0.0,0.0,0.0,3
id,-5.77429456865818e-17,1.0000079362244998,1.7323296148494338e-16,-1.2026669158694945,12.167415024330655,0
status_type_id,-1.443573642164545e-17,1.0000079362245,3.622800478260089,12.27713304788297,137.9684192754553,5
sensor_0_avg,-2.2194944748279878e-16,1.0000079362244998,0.6357605351181174,-0.9776789465134939,79.47813166391303,8
sensor_0_max,2.526253873787954e-16,1.0000079362245,0.3797750055920848,-1.3175395191273929,82.149438073081,8
sensor_0_min,-4.5111676317642026e-17,1.0000079362245,0.9751599591095094,-0.33375155564660197,86.17318860656994,8
sensor_0_std,1.5879310063809994e-16,1.0000079362244998,1.558539959921627,2.1938522789818893,148.08021025262025,1
sensor_1_avg,-9.374770234759984e-18,1.0000079362245,0.11601303308857154,3.8601418134048235,216.740041845905,1
sensor_1_max,6.135187979199316e-17,1.0000079362245,0.659978865307423,0.13940995219132413,141.80808739229187,1
sensor_1_min,1.6149980121715846e-16,1.0000079362244998,-0.5900540734178849,0.2849713819329289,144.92405197498704,1
sensor_1_std,-1.4977076537457155e-16,1.0000079362244998,0.413514121087145,-0.4433251361014654,123.50821758056422,8
power_2_avg,8.390771795081417e-17,1.0000079362244998,0.6396252318370774,-0.9690444012349704,79.42867329845947,8
power_2_max,2.0570924400844765e-16,1.0000079362244998,0.38488653593067734,-1.3172047002416507,81.73625467666488,8
power_2_min,-9.744122084610678e-17,1.0000079362245,0.977473292227736,-0.31710900576002654,86.1351763285252,8
power_2_std,-3.608934105411362e-17,1.0000079362245,1.5570156856929844,2.1322951315334397,148.04797294803433,1
sensor_3_avg,2.1653604632468174e-16,1.0000079362244998,-0.42138114102666646,-1.6763004435405768,42.84284116812865,0
sensor_3_max,-5.77429456865818e-17,1.0000079362245,-0.2043706435926174,-0.5520146964954633,50.5551020152669,0
sensor_3_min,-4.330720926493635e-17,1.0000079362245,-0.30075091594596964,-1.9064736552816255,30.447739310250387,0
sensor_3_std,2.88714728432909e-17,1.0000079362245,1.1647069465143973,-0.5323606259392313,51.87895109952895,8
sensor_4_avg,-7.217868210822725e-18,1.0000079362245,1.456594941964255,0.496975489535636,91.40542689478202,8
sensor_4_max,2.88714728432909e-17,1.0000079362245,1.1321565402271458,-0.7173556116100355,61.92240702654137,8
sensor_4_min,0.0,0.0,0.0,0.0,0.0,3
sensor_4_std,-2.88714728432909e-17,1.0000079362244998,1.188134263054916,-0.5332720786836562,66.83083338763339,8
power_5_avg,-1.0465908905692951e-16,1.0000079362244998,0.6413950617779126,-0.9683937815977024,79.61661917446474,8
power_5_max,-2.3458071685173854e-17,1.0000079362245,0.38183875716324883,-1.3208859269468614,81.8178599282882,8
power_5_min,3.428487400140794e-17,1.0000079362245,0.9891424648118567,-0.2962512482300679,86.5605477237453,8
power_5_std,1.263126936893977e-16,1.0000079362245002,1.5549244453807347,2.0868894623946352,147.68472420346694,1
power_6_avg,-1.0465908905692951e-16,1.0000079362244998,0.6413950617779126,-0.9683937815977024,79.61661917446474,8
power_6_max,-2.3458071685173854e-17,1.0000079362245,0.38183875716324883,-1.3208859269468614,81.8178599282882,8
power_6_min,3.428487400140794e-17,1.0000079362245,0.9891424648118567,-0.2962512482300679,86.5605477237453,8
power_6_std,1.263126936893977e-16,1.0000079362245002,1.5549244453807347,2.0868894623946352,147.68472420346694,1
sensor_7_avg,1.443573642164545e-17,1.0000079362245,0.12442460160440888,-0.5654820794344864,25.945451598456437,0
sensor_7_max,1.2703448051047996e-15,1.0000079362245,0.12506566260768037,-0.5694734967369879,26.560917647489227,0
sensor_7_min,-2.309717827463272e-16,1.0000079362245,0.12052558415910693,-0.5660935452097586,26.562146123365608,0
sensor_7_std,1.804467052705681e-17,1.0000079362245,0.5494079843990163,0.3520539686053583,201.27728038450985,1
sensor_8_avg,3.843514822263101e-16,1.0000079362245,-0.6468092346726978,-0.7347037303069919,76.62066639675525,0
sensor_8_max,9.202781968798973e-17,1.0000079362244998,-0.8232116803174976,-0.5740331167619144,79.95749920655084,0
sensor_8_min,2.2104721395644593e-16,1.0000079362244998,-0.43311922298293126,-0.8439399133038954,85.74019506154774,0
sensor_8_std,1.0826802316234088e-17,1.0000079362244998,1.6562924696149903,4.032908158150676,179.44983393002624,1
sensor_9_avg,-6.496081389740452e-17,1.0000079362245,0.5485071826312773,-1.6412931876244214,49.79669329694602,8
sensor_9_max,-7.217868210822725e-18,1.0000079362245,-0.939091676511261,0.033410540674186695,152.68749743616107,1
sensor_9_min,7.217868210822725e-18,1.0000079362245,2.8227765421191346,5.9682568651804555,124.80962587183431,5
sensor_9_std,-3.6089341054113625e-18,1.0000079362245,2.3368819467421837,4.585154863264194,139.96626258096086,5
sensor_10_avg,-1.8766457348139083e-16,1.0000079362245,-1.1634506060698409,-0.5882355624067666,54.374642103851386,0
sensor_10_max,1.3713949600563176e-16,1.0000079362245002,-1.4873464904852007,3.7115130021064213,131.1530750867345,6
sensor_10_min,2.796923931693806e-17,1.0000079362244998,0.013376154198727161,-0.431893202515508,151.99647191961878,1
sensor_10_std,-1.714243700070397e-17,1.0000079362244998,2.7695604873748167,7.203165048227177,148.91650344329517,5
sensor_11_avg,1.0465908905692951e-16,1.0000079362245,0.7907995036938648,-1.2487485857077925,56.661431280271664,8
sensor_11_max,1.3713949600563176e-16,1.0000079362245,1.6416778982866582,3.4142710540122327,121.77163757749571,8
sensor_11_min,4.2856092501759926e-17,1.0000079362245,4.094791302451293,14.767784605858571,142.1810488162899,5
sensor_11_std,3.6089341054113625e-18,1.0000079362244998,1.5877990227037364,1.192133238027282,116.69559711352191,8
sensor_12_avg,-1.2775626733156223e-15,1.0000079362245,2.1420438665322856,4.082020238466573,80.68656473385501,8
sensor_12_max,8.300548442446133e-16,1.0000079362245,0.3388526909830858,0.059178305017546506,154.67828494858657,1
sensor_12_min,-1.0249372859368269e-15,1.0000079362245,-0.7652370465576226,-0.7103056521437527,132.09329004819466,8
sensor_12_std,-1.443573642164545e-17,1.0000079362245,0.9209039481367178,-0.6963126703344598,90.66007627053969,8
sensor_13_avg,-2.4540751916797266e-16,1.0000079362245,1.581231392555231,1.4078140557486507,58.195261466401774,8
sensor_13_max,1.443573642164545e-16,1.0000079362245,0.2597867864193229,-0.07294007613895426,123.77354764369255,8
sensor_13_min,-1.2992162779480905e-15,1.0000079362245,0.29301930382489466,-0.6941476787315648,101.28157101409973,8
sensor_13_std,4.330720926493635e-17,1.0000079362245,0.5931249532450618,-1.095155955699006,97.26954754844446,8
sensor_14_avg,1.154858913731636e-16,1.0000079362245,-0.4756936194407906,-0.7764811322063241,49.00690854013474,0
sensor_14_max,1.443573642164545e-17,1.0000079362245,-0.158095756830895,0.8385421311338552,125.84222554753558,8
sensor_14_min,2.742789920112635e-16,1.0000079362244998,0.3945391834222919,-0.32464910068747743,97.12364044596316,8
sensor_14_std,3.608934105411362e-17,1.0000079362245,-0.30540390698383685,-0.47855667123916046,115.15695643220754,8
